nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai,jumlah_paket_realisasi,total_realisasi,persentase_realisasi,status_realisasi
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH PASAR MINGGU - 1.02.0.00.0.00.01.0063,2026,Penyedia,Dikecualikan,Jasa Lainnya,BELANJA JASA TENAGA KESEHATAN,64746068,APBD,Ya,49464933562,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA ANGKUTAN SEKOLAH - 2.15.0.00.0.00.01.0007,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Pelayanan Angkutan Bus Sekolah (Petugas Perhubungan - Bus Sekolah),63089616,APBD,Ya,46614353175,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Modal Aset Tetap Lainnya BOSP-BOS Reguler Penyediaan Bantuan Operasional Sekolah (BOS) Reguler Jenjang SD Negeri,65154319,APBD,Ya,45998174229,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA SISTEM PENGENDALIAN LALU LINTAS - 2.15.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Barang,Penyediaan Sistem Simulasi Cerdas Lalu Lintas,64178789,APBD,Tidak,45494297476,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH BUDHI ASIH - 1.02.0.00.0.00.01.0061,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Jasa Tenaga Kesehatan Ai Siti Rokayah (dikecualikan),64629525,APBD,Ya,43953216296,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKTIM - 1.01.0.00.0.00.01.0010,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Tenaga Pendidikan/Guru bagi Satuan Pendidikan Sekolah Dasar (SD),62461761,APBD,Ya,43931941873,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Tanggul Pengaman Pantai NCICD Fase A Tahap 3 Paket 2,64245072,APBD,Ya,42587253550,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Barang,Pengadaan Pompa Pengendali Banjir Mobile Pump 60.000 Liter/Menit Pendukung Pembangunan Polder,64842985,APBD,Ya,39420609375,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,2026,Penyedia,Tender,Pekerjaan Konstruksi,Pembangunan Gedung Kantor Dinas Lingkungan Hidup,66924015,APBD,Ya,38588623800,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENANGANAN SAMPAH BADAN AIR - 2.11.0.00.0.00.01.0010,2026,Penyedia,E-Purchasing,Barang,Pembangunan Hanggar di Saringan Sampah TB. Simatupang (Mekanikal Elektrikal),64376541,APBD,Tidak,37178816491,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR - 1.01.0.00.0.00.01.0006,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Sekolah Dasar,64835527,APBD,Ya,32787007648,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKBAR - 1.01.0.00.0.00.01.0005,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Peningkatan Kesejahteraan Pendidik Non PNS Satuan Pendidikan Dasar Negeri (Pendidik SD),62041737,APBD,Ya,31724563682,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,2026,Penyedia,Tender,Pekerjaan Konstruksi,Pelaksanaan Fisik Pembangunan Rumah Susun Jalan Tongkol Tahap II ,64610005,APBD,Ya,31528372784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA TAMAN MARGASATWA RAGUNAN - 3.28.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Barang,Pengadaan Makanan Satwa TMR,62044104,APBD,Ya,31259188784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,2026,Penyedia,E-Purchasing,Barang,PENGADAAN SERVER,64002988,APBD,Tidak,30201930172,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENANGANAN SAMPAH BADAN AIR - 2.11.0.00.0.00.01.0010,2026,Penyedia,Dikecualikan,Jasa Lainnya, Penyediaan BBM KDO/KDO Khusus,64539119,APBD,Ya,30016349648,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA PERPARKIRAN - 2.15.0.00.0.00.01.0016,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Pegawai Tetap,63601954,BLUD,Ya,29292647254,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA SAMPAH TERPADU - 2.11.0.00.0.00.01.0008,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penanganan Kebersihan dengan Pekerja Kontrak Perorangan (Petugas Pengolahan Sampah - Operator Alat Berat),62365275,APBD,Ya,29250767358,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PERTAMANAN DAN HUTAN KOTA KOTA  ADMINISTRASI  JAKARTA UTARA - 3.28.0.00.0.00.01.0002,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Petugas Penanganan Prasarana dan Sarana Umum - Perawat Taman dan Pohon RTH Taman,64248627,APBD,Ya,29185683488,0.0,0.0,0.0,BELUM TEREALISASI
