nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH KEMBANGAN - 1.02.0.00.0.00.01.0071,2026,Penyedia,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Kebidanan dan Penyakit Kandungan Caesarean Section Set,63124887,APBD,Ya,206769024
PROVINSI DKI JAKARTA,PANTI SOSIAL BINA DAKSA BUDI BHAKTI 1 - 1.06.0.00.0.00.01.0031,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Tenaga Keamanan (PJLP) Panti Sosial Bina Daksa Budi Bhakti 1 (Gaji),63571149,APBD,Ya,420947358
PROVINSI DKI JAKARTA,KELURAHAN KEBAYORAN LAMA SELATAN - JAKSEL - 7.01.0.00.0.00.04.0003,2026,Penyedia,E-Purchasing,Barang,Penyediaan Peralatan Rumah Tangga,63039444,APBD,Ya,18578560
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH TEBET - 1.02.0.00.0.00.01.0074,2026,Penyedia,E-Purchasing,Barang,Penyediaan Bahan Medis Habis Pakai,67686971,BLUD,Ya,13986000
PROVINSI DKI JAKARTA,SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA  ADMINISTRASI JAKARTA PUSAT - 1.05.0.00.0.00.02.0001,2026,Penyedia,E-Purchasing,Jasa Lainnya,Pemeliharaan dan Perbaikan Pompa/Karoseri Kendaraan Dinas Operasional Merek HSP,62050614,APBD,Ya,245462000
PROVINSI DKI JAKARTA,KELURAHAN GONDANGDIA - JAKPUS - 7.01.0.00.0.00.01.0013,2026,Penyedia,E-Purchasing,Barang,Penyediaan Spanduk yang Bersifat Larangan atau Himbauan,61887445,APBD,Ya,2678144
PROVINSI DKI JAKARTA,KECAMATAN KRAMAT JATI - JAKTIM - 7.01.0.00.0.00.05.0022,2026,Penyedia,E-Purchasing,Jasa Lainnya,Belanja Bahan-Bahan Bakar dan Pelumas ,62605854,APBD,Ya,936768
PROVINSI DKI JAKARTA,KECAMATAN KEBON JERUK - JAKBAR - 7.01.0.00.0.00.03.0001,2026,Swakelola,-,-,Pembayaran Honorarium Tim Penggerak PKK Tingkat Kecamatan,42230069,APBD,-,134448000
PROVINSI DKI JAKARTA,KELURAHAN CILANGKAP - JAKTIM - 7.01.0.00.0.00.05.0019,2026,Swakelola,-,-,Pembayaran Honorarium FKDM,42024710,APBD,-,139800000
PROVINSI DKI JAKARTA,DINAS PERTAMANAN DAN HUTAN KOTA - 3.28.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Pengadaan Perkakas dan Bahan Kerja Dekorasi,63317815,APBD,Ya,127866816
PROVINSI DKI JAKARTA,KELURAHAN DUREN TIGA - JAKSEL - 7.01.0.00.0.00.04.0037,2026,Penyedia,E-Purchasing,Barang,Pemeliharaan Sarana dan Prasarana Ruang Interaksi Warga/RPTRA,63384738,APBD,Ya,90070113
